Operation, NumValues, Cycles/Value
basic_build, 1024, 58073.0769230769
basic_probe, 1024, 59656.5217391304
basic_build, 4096, 233558.823529412
basic_probe, 4096, 239221.875
basic_build, 16384, 1015087.5
basic_probe, 16384, 955500
basic_build, 65536, 3857100
basic_probe, 65536, 3942000
basic_build, 262144, 16568550
basic_probe, 262144, 17929950
basic_build, 1048576, 75162450
basic_probe, 1048576, 80503500
basic_build, 4194304, 309835350
basic_probe, 4194304, 331291050
basic_build, 16777216, 3004604250
basic_probe, 16777216, 3127824000
basic_build, 67108864, 17818603050
basic_probe, 67108864, 17077370550
