Operation, NumValues, Cycles/Value
blocked_build, 1024, 30659.328358209
blocked_probe, 1024, 26731.5217391304
blocked_build, 4096, 122854.545454545
blocked_probe, 4096, 107857.894736842
blocked_build, 16384, 491268.75
blocked_probe, 16384, 430950
blocked_build, 65536, 2126550
blocked_probe, 65536, 1753875
blocked_build, 262144, 10109400
blocked_probe, 262144, 7040100
blocked_build, 1048576, 48662250
blocked_probe, 1048576, 28486500
blocked_build, 4194304, 206314050
blocked_probe, 4194304, 114102750
blocked_build, 16777216, 1821220650
blocked_probe, 16777216, 454206450
blocked_build, 67108864, 9732519300
blocked_probe, 67108864, 1824431250
