Operation, NumValues, Cycles/Value
patterned_register_blocked_simd_build, 1024, 2972.58702531646
patterned_register_blocked_simd_probe, 1024, 3138.90160183066
patterned_register_blocked_simd_build, 4096, 12004.8701298701
patterned_register_blocked_simd_probe, 4096, 12555.2884615385
patterned_register_blocked_simd_build, 16384, 51468.75
patterned_register_blocked_simd_probe, 16384, 50313.698630137
patterned_register_blocked_simd_build, 65536, 233090.625
patterned_register_blocked_simd_probe, 65536, 237997.058823529
patterned_register_blocked_simd_build, 262144, 1128600
patterned_register_blocked_simd_probe, 262144, 1198450
patterned_register_blocked_simd_build, 1048576, 5370750
patterned_register_blocked_simd_probe, 1048576, 5689050
patterned_register_blocked_simd_build, 4194304, 37085100
patterned_register_blocked_simd_probe, 4194304, 35961450
patterned_register_blocked_simd_build, 16777216, 351692850
patterned_register_blocked_simd_probe, 16777216, 299775300
patterned_register_blocked_simd_build, 67108864, 2025106050
patterned_register_blocked_simd_probe, 67108864, 1656241050
