Operation, NumValues, Cycles/Value
register_blocked_build, 1024, 20415.8823529412
register_blocked_probe, 1024, 26698.1366459627
register_blocked_build, 4096, 81606.3829787234
register_blocked_probe, 4096, 106725
register_blocked_build, 16384, 326468.181818182
register_blocked_probe, 16384, 426850
register_blocked_build, 65536, 1307750
register_blocked_probe, 65536, 1711725
register_blocked_build, 262144, 5243850
register_blocked_probe, 262144, 7132800
register_blocked_build, 1048576, 21930900
register_blocked_probe, 1048576, 31899000
register_blocked_build, 4194304, 91311900
register_blocked_probe, 4194304, 132510150
register_blocked_build, 16777216, 853945500
register_blocked_probe, 16777216, 1333075500
register_blocked_build, 67108864, 5246842650
register_blocked_probe, 67108864, 7478539200
register_blocked_compensated_build, 1024, 20437.7094972067
register_blocked_compensated_probe, 1024, 26713.3333333333
register_blocked_compensated_build, 4096, 81830
register_blocked_compensated_probe, 4096, 106751.470588235
register_blocked_compensated_build, 16384, 326631.818181818
register_blocked_compensated_probe, 16384, 426883.333333333
register_blocked_compensated_build, 65536, 1307550
register_blocked_compensated_probe, 65536, 1711650
register_blocked_compensated_build, 262144, 5316000
register_blocked_compensated_probe, 262144, 7441950
register_blocked_compensated_build, 1048576, 22235400
register_blocked_compensated_probe, 1048576, 32306100
register_blocked_compensated_build, 4194304, 100125150
register_blocked_compensated_probe, 4194304, 139439100
register_blocked_compensated_build, 16777216, 1056558000
register_blocked_compensated_probe, 16777216, 1458265800
register_blocked_compensated_build, 67108864, 5430423900
register_blocked_compensated_probe, 67108864, 7688242950
register_blocked_simd_build, 1024, 5319.75857687421
register_blocked_simd_probe, 1024, 5169.85559566787
register_blocked_simd_build, 4096, 21650.2941176471
register_blocked_simd_probe, 4096, 20710.3174603175
register_blocked_simd_build, 16384, 85595.4545454545
register_blocked_simd_probe, 16384, 87320
register_blocked_simd_build, 65536, 359125
register_blocked_simd_probe, 65536, 400783.333333333
register_blocked_simd_build, 262144, 1699650
register_blocked_simd_probe, 262144, 1966950
register_blocked_simd_build, 1048576, 7505550
register_blocked_simd_probe, 1048576, 8640450
register_blocked_simd_build, 4194304, 40878450
register_blocked_simd_probe, 4194304, 43446600
register_blocked_simd_build, 16777216, 426725550
register_blocked_simd_probe, 16777216, 397171650
register_blocked_simd_build, 67108864, 2235989400
register_blocked_simd_probe, 67108864, 1964078700
